;DIAS_U;DIAS_TOT;DIAS_NUTEIS;DIAS_U_C;PASCOA;CARNAVAL
jul/02;23;31;8;3;0;0
ago/02;22;31;9;-0,5;0;0
set/02;21;30;9;-1,5;0;0
out/02;23;31;8;3;0;0
nov/02;20;30;10;-5;0;0
dez/02;21;31;10;-4;0;0
jan/03;22;31;9;-0,5;0;0
fev/03;20;28;8;0;0;-0,789855072
mar/03;20;31;11;-7,5;0;0,789855072
abr/03;20;30;10;-5;1;0
mai/03;21;31;10;-4;0;0
jun/03;20;30;10;-5;0;0
jul/03;23;31;8;3;0;0
ago/03;21;31;10;-4;0;0
set/03;22;30;8;2;0;0
out/03;23;31;8;3;0;0
nov/03;20;30;10;-5;0;0
dez/03;22;31;9;-0,5;0;0
jan/04;21;31;10;-4;0;0
fev/04;19;29;10;-6;0;0,210144928
mar/04;23;31;8;3;0;-0,210144928
abr/04;20;30;10;-5;1;0
mai/04;21;31;10;-4;0;0
jun/04;21;30;9;-1,5;0;0
jul/04;22;31;9;-0,5;0;0
ago/04;22;31;9;-0,5;0;0
set/04;21;30;9;-1,5;0;0
out/04;20;31;11;-7,5;0;0
nov/04;20;30;10;-5;0;0
dez/04;23;31;8;3;0;0
jan/05;21;31;10;-4;0;0
fev/05;19;28;9;-3,5;0;0,210144928
mar/05;22;31;9;-0,5;1;-0,210144928
abr/05;20;30;10;-5;0;0
mai/05;21;31;10;-4;0;0
jun/05;22;30;8;2;0;0
jul/05;21;31;10;-4;0;0
ago/05;23;31;8;3;0;0
set/05;21;30;9;-1,5;0;0
out/05;20;31;11;-7,5;0;0
nov/05;20;30;10;-5;0;0
dez/05;22;31;9;-0,5;0;0
jan/06;22;31;9;-0,5;0;0
fev/06;19;28;9;-3,5;0;0,210144928
mar/06;23;31;8;3;0;-0,210144928
abr/06;18;30;12;-12;1;0
mai/06;22;31;9;-0,5;0;0
jun/06;21;30;9;-1,5;0;0
jul/06;21;31;10;-4;0;0
ago/06;23;31;8;3;0;0
set/06;20;30;10;-5;0;0
out/06;21;31;10;-4;0;0
nov/06;20;30;10;-5;0;0
dez/06;20;31;11;-7,5;0;0
jan/07;22;31;9;-0,5;0;0
fev/07;19;28;9;-3,5;0;0,210144928
mar/07;22;31;9;-0,5;0;-0,210144928
abr/07;20;30;10;-5;1;0
mai/07;22;31;9;-0,5;0;0
jun/07;20;30;10;-5;0;0
jul/07;22;31;9;-0,5;0;0
ago/07;23;31;8;3;0;0
set/07;19;30;11;-8,5;0;0
out/07;22;31;9;-0,5;0;0
nov/07;20;30;10;-5;0;0
dez/07;20;31;11;-7,5;0;0
jan/08;22;31;9;-0,5;0;0
fev/08;20;29;9;-2,5;0;0,210144928
mar/08;20;31;11;-7,5;1;-0,210144928
abr/08;21;30;9;-1,5;0;0
mai/08;20;31;11;-7,5;0;0
jun/08;21;30;9;-1,5;0;0
jul/08;23;31;8;3;0;0
ago/08;21;31;10;-4;0;0
set/08;22;30;8;2;0;0
out/08;23;31;8;3;0;0
nov/08;20;30;10;-5;0;0
dez/08;22;31;9;-0,5;0;0
jan/09;21;31;10;-4;0;0
fev/09;19;28;9;-3,5;0;0,210144928
mar/09;22;31;9;-0,5;0;-0,210144928
abr/09;20;30;10;-5;1;0
mai/09;20;31;11;-7,5;0;0
jun/09;21;30;9;-1,5;0;0
jul/09;23;31;8;3;0;0
ago/09;21;31;10;-4;0;0
set/09;21;30;9;-1,5;0;0
out/09;21;31;10;-4;0;0
nov/09;20;30;10;-5;0;0
dez/09;22;31;9;-0,5;0;0
jan/10;20;31;11;-7,5;0;0
fev/10;19;28;9;-3,5;0;0,210144928
mar/10;23;31;8;3;0;-0,210144928
abr/10;20;30;10;-5;1;0
mai/10;21;31;10;-4;0;0
jun/10;21;30;9;-1,5;0;0
jul/10;22;31;9;-0,5;0;0
ago/10;22;31;9;-0,5;0;0
set/10;21;30;9;-1,5;0;0
out/10;20;31;11;-7,5;0;0
nov/10;20;30;10;-5;0;0
dez/10;23;31;8;3;0;0
jan/11;21;31;10;-4;0;0
fev/11;20;28;8;0;0;-0,789855072
mar/11;22;31;9;-0,5;0;0,789855072
abr/11;19;30;11;-8,5;1;0
mai/11;22;31;9;-0,5;0;0
jun/11;21;30;9;-1,5;0;0
jul/11;21;31;10;-4;0;0
ago/11;23;31;8;3;0;0
set/11;21;30;9;-1,5;0;0
out/11;20;31;11;-7,5;0;0
nov/11;20;30;10;-5;0;0
dez/11;22;31;9;-0,5;0;0
jan/12;22;31;9;-0,5;0;0
fev/12;20;29;9;-2,5;0;0,210144928
mar/12;22;31;9;-0,5;0;-0,210144928
abr/12;20;30;10;-5;1;0
mai/12;22;31;9;-0,5;0;0
jun/12;20;30;10;-5;0;0
jul/12;22;31;9;-0,5;0;0
ago/12;23;31;8;3;0;0
set/12;19;30;11;-8,5;0;0
out/12;22;31;9;-0,5;0;0
nov/12;20;30;10;-5;0;0
dez/12;20;31;11;-7,5;0;0
jan/13;22;31;9;-0,5;0;0
fev/13;19;28;9;-3,5;0;0,210144928
mar/13;20;31;11;-7,5;1;-0,210144928
abr/13;22;30;8;2;0;0
mai/13;21;31;10;-4;0;0
jun/13;20;30;10;-5;0;0
jul/13;23;31;8;3;0;0
ago/13;22;31;9;-0,5;0;0
set/13;21;30;9;-1,5;0;0
out/13;23;31;8;3;0;0
nov/13;20;30;10;-5;0;0
dez/13;21;31;10;-4;0;0
jan/14;22;31;9;-0,5;0;0
fev/14;20;28;8;0;0;-0,789855072
mar/14;20;31;11;-7,5;0;0,789855072
abr/14;20;30;10;-5;1;0
mai/14;21;31;10;-4;0;0
jun/14;20;30;10;-5;0;0
jul/14;23;31;8;3;0;0
ago/14;21;31;10;-4;0;0
set/14;22;30;8;2;0;0
out/14;23;31;8;3;0;0
nov/14;20;30;10;-5;0;0
dez/14;22;31;9;-0,5;0;0
jan/15;21;31;10;-4;0;0
fev/15;19;28;9;-3,5;0;0,210144928
mar/15;22;31;9;-0,5;0;-0,210144928
abr/15;20;30;10;-5;1;0
mai/15;20;31;11;-7,5;0;0
jun/15;21;30;9;-1,5;0;0
jul/15;23;31;8;3;0;0
ago/15;21;31;10;-4;0;0
